CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	BOOKTITLE	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TITLE	TYPE	VOLUME	YEAR	TITLE_TRANSLATION	BOOKTITLE_TRANSLATION	URL
BOOK	kibriketal1972	Moscow		Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П.															Издательство Академии наук СССР			Фрагменты грамматики хиналугского языка			1972	Fragments of Khinalug grammar		
BOOK	kibriketal1996	Munich/Newcastle							Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander										Lincom Europa			Godoberi			1996			
BOOK	kibrikkodzasov1990	Moscow		Кибрик, Александр Е. and Кодзасов, Сандро В.															Издательство Академии наук СССР			Сопоставительное изучение дагестанских языков. Имя. Фонетика			1990	A comparative study of Daghestanian languages. Noun. Phonetics		
INCOLLECTION	kozhukhar2019	Berlin		Kozhukhar, Aleksandra	The Mehweb language. Essays on phonology, morphology and syntax				Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									271--293	Language Science Press			The self-pronoun in Mehweb			2019			
INCOLLECTION	kozintseva2000	Berlin/New York		Kozintseva, Natalia A.	Evidentials. Turkic, Iranian and neighbouring languages				Johanson, Lars and Utas, Bo									401--418	Mouton de Gruyter			Perfect forms as a means of expressing evidentiality in Modern Eastern Armenian			2000			
MISC	kumyktil														Accessed: 2021-12-17							Къумукъ тил			2021			https://кумыкский-язык.рф/ru/slovar
BOOK	maciev1961	Moscow		Мациев, Ахмет Г.															Государственное издательство иностранных и национальных словарей			Чеченско-русский словарь			1961	Chechen-Russian dictionary		
BOOK	madieva1965	Makhachkala		Мадиева, Гюльшахан И.															ДГУ			Грамматический очерк бежтинского языка			1965	Grammatical profile of Bezhta		
BOOK	magomedbekova1967	Tbilisi		Магомедбекова, Загидат М.															Мецниереба			Ахвахский язык			1967	Akhvakh		
BOOK	magomedbekova1971	Tbilisi		Магомедбекова, Загидат М.															Мецниереба			Каратинский язык			1971	Karata		
INCOLLECTION	magomedbekova1998	Moscow		Магомедбекова, Загидат М.	Языки мира. Кавказские языки				Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.									25--32	Academia			Тиндинский язык			1998	Tindi	Languages of the world. Caucasian languages	
INCOLLECTION	magomedbekova2001	Moscow		Магомедбекова, Загидат М.	Языки мира. Кавказские языки				Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.									228--236	Academia			Ботлихский язык			2001	Botlikh	Languages of the world. Caucasian languages	
BOOK	magomedova1999	Makhachkala		Магомедова, Патимат Т.															ИЯЛИ			Чамалинско-русский словарь			1999	Chamalal-Russian dictionary		
BOOK	magomedova2003	Makhachkala		Магомедова, Патимат Т.															ИЯЛИ			Тиндинско-русский словарь			2003	Tindi-Russian dictionary		
BOOK	magomedova2004	Makhachkala		Магомедова, Патимат Т.															ИЯЛИ			Багвалинско-русский словарь			2004	Bagvalal-Russian dictionary		
BOOK	magomedova2012	Makhachkala		Магомедова, Патимат Т.															ИЯЛИ			Тиндинский язык			2012	Tindi		
BOOK	magomedovaabdulaeva2007	Makhachkala		Магомедова, Патимат Т. and Абдулаева, Индира А.															ИЯЛИ			Ахвахско-русский словарь			2007	Akhvakh-Russian dictionary		
BOOK	magomedovaxalidova2001	Makhachkala		Магомедова, Патимат Т. and Халидова, Рашидат Ш.															ИЯЛИ			Каратинско-русский словарь			2001	Karata-Russian dictionary		
BOOK	magomedovsaidovakutta2017	Saint-Petersburg		Магомедов, Амирбек Д. and Саидов-Акутта, Набигулла И.															Наука			Кубачинско-русский словарь (рукопись)			2017	Kubachi-Russian dictionary (manuscript)		
BOOK	magometov1963	Tbilisi		Магометов, Александр А.															Академия Наук Грузинской ССР			Кубачинский язык			1963	Kubachi		
BOOK	magometov1965	Tbilisi		Магометов, Александр А.															Мецниереба			Табасаранский язык: исследование и тексты			1965	Tabasaran: research and texts		
BOOK	magometov1970	Tbilisi		Магометов, Александр А.															Мецниереба			Агульский язык			1970	Agul		
BOOK	magometov1982	Tbilisi		Магометов, Александр А.															Мецниереба			Мегебский диалект даргинского языка: исследование и тексты			1982	Mehweb dialect of Dargwa: research and texts		
MISC	maisak2006			Майсак, Тимур А.											Accessed: 2021-12-17							Краткий русско-удинский разговорник (Ниджский диалект)			2006	Short Udi phrasebook (Nizh dialect)		
INCOLLECTION	maisak2008	Moscow		Майсак, Тимур А.	Удинский сборник: грамматика, лексика, история языка				Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.									96--161	Академия			Глагольная парадигма удинского языка (Ниджский диалект)			2008	Verb paradigm in Udi (Nizh dialect)	Udi. Grammar. Lexicon. History of the language	
BOOK	maisak2014	Moscow		Майсак, Тимур А.															Academia			Агульские тексты 1900-1960-х годов.			2014	Agul texts of the 1900-1960s		
INCOLLECTION	maisak2016	Saint-Petersburg		Майсак, Тимур А.	Типология перфекта				Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.									315--378	Наука			Перфект и аорист в ниджском диалекте удинского языка			2016	Perfect and aorist in the Nizh dialect of Udi		
MISC	maisak2016andi			Майсак, Тимур А.															Handout			Глагольная система рикванинского говора андийского языка: формообразование			2016	The verbal system of the Rikvani dialect of Andi: inflection		
MISC	maisak2017			Maisak, Timur											12th Conference of the Association for Linguistic Typology (ALT) Workshop ``Reported speech as a syntactic domain'' Canberra, 15 December 2017. Hand-out							Tense and aspect among the factors conditioning the distribution of quotatives: data from Andi			2017			
INCOLLECTION	maisak2018	Leiden		Maisak, Timur	The semantics of verbal categories in Nakh-Daghestanian languages				Forker, Diana and Maisak, Timur									120--165	Brill			The Aorist/Perfect distinction in Nizh Udi			2018			
INCOLLECTION	maisak_inalco2018	INALCO, Paris		Maisak, Timur	Syntax of the World’s Languages VIII																	Some remarkable features of negative verb forms in Andi (Nakh-Daghestanian)			2018			
MISC	maisak2020			Maisak, Timur																		Affixal, phrasal and clausal caritives in Nakh-Daghestanian			2020			
INCOLLECTION	maisak2021	Amsterdam		Maisak, Timur	The perfect volume				Eide, Kristin Melum and Fryd, Marc									88--115	John Benjamins			Structural and functional variations of the perfect in Lezgic languages			2021			
INCOLLECTION	maisakchumakina2001	Moscow		Майсак, Тимур А. and Чумакина, Марина Э.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									702--723	Наследие			Дискурсивные частицы			2001	Discursive particles	The Bagvalal language. Grammar, texts, dictionaries	
INCOLLECTION	maisakganenkov2016	Berlin/Boston		Maisak, Timur and Ganenkov, Dmitry	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3579--3594	De Gruyter Mouton			Aghul			2016			
ARTICLE	maisakmerdanova2002			Майсак, Тимур А. and Мерданова, Солмаз Р.								Кавказоведение						102--112				Категория эвиденциальности в агульском языке		1	2002	The category of evidentiality in Agul		
BOOK	maisakmerdanova2002b			Майсак, Тимур А. and Мерданова, Солмаз Р.															Manuscript			Глагольная система хпюкского говора агульского языка			2002	Verb system of Huppuk Agul		
INCOLLECTION	maisakmerdanova2016	Saint-Petersburg		Майсак, Тимур А. and Мерданова, Солмаз Р.	Типология перфекта				Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.									379--422	Наука			Перфект и смежные значения в агульском языке			2016	The perfect and adjacent meanings in Agul	Typology of the perfect	
ARTICLE	maisaktatevosov1998			Майсак, Тимур А. and Татевосов, Сергей Г.								Вопросы языкознания				1		60--88				Кодирование эпистемического статуса средствами морфосинтаксиса			1998	Encoding of epistemic status with morphosyntactic means		
INCOLLECTION	maisaktatevosov2001	Moscow		Майсак, Тимур А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									293--318	Наследие			Эвиденциальность			2001	Evidentiality	The Bagvalal language. Grammar, texts, dictionaries	
INCOLLECTION	maisaktatevosov2007	Louvain/Paris/Dudley MA		Maisak, Timur and Tatevosov, Sergei	L'Énonciation médiatisée II				Guentchéva, Zlatka and Landabaru, John									377--406	Peeters			Beyond evidentiality and mirativity. Evidence from Tsakhur			2007			
BOOK	mallaeva2007	Makhachkala		Маллаева, Зулайхат М.															ИЯЛИ			Глагол аварского языка: структура, семантика, функции			2007	The verb in Avar: structure, semantics, functions		
INCOLLECTION	martzloff2017	Makhachkala		Martzloff, Vincent	Historical linguistics of the Caucasus: Book of abstracts				Authier, Gilles and Gérardin, Hélène and Magomedov, Magomed and Maisak, Timur									154--158	Институт языка, литературы и искусства им. Гамзата Цадасы ДНЦ РАН			The derivational history of ordinal numbers in Armenian, Georgian and other Caucasian languages			2017			
PHDTHESIS	maxmudova2002			Махмудова, Светлана М.																ДГУ		Грамматические классы слов и грамматические категории рутульского языка			2002	Grammatical word classes and grammatical categories of Rutul		
BOOK	mejlanova1984	Moscow		Мейланова, Унеизат А.															Наука			Будухско-русский словарь			1984	Budukh-Russian dictionary		
BOOK	merdanova2004	Moscow		Мерданова, Солмаз Р.															РАН ИЯ			Морфология и грамматическая семантика агульского языка (на материале хпюкского говора)			2004	Morphology and grammatical semantics of Agul language based on Khpyuk dialect		
BOOK	mikailov1967	Makhachkala		Микаилов, Казбек Ш.															ИЯЛИ			Арчинский язык			1967	Archi		
BOOK	mobili2010	Baku		Мобили, Роберт Б.															Леман			Удинско-азербайджанско-русский словарь			2010	Udi-Azerbaijani-Russian dictionary		
MISC	molochieva2007			Molochieva, Zarina											Conference on the Languages of the Caucasus, 7-9.12.2007, Max Planck Institute EVA, Leipzig. Hand-out							Category of evidentiality and mirativity in Chechen			2007			
PHDTHESIS	molochieva2010			Molochieva, Zarina																Universität Leipzig		Tense, aspect and mood in Chechen			2010			
INCOLLECTION	moroz2019	Berlin		Moroz, George	The Mehweb language. Essays on phonology, morphology and syntax				Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									17--37	Language Science Press			Phonology of Mehweb			2019			
MISC	morozetaldraft2021	Berlin/New York		Moroz, George and Naccarato, Chiara and Verhees, Samira	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			Godoberi			2021			
BOOK	musaev2002	Moscow		Мусаев, Магомед-Саид М.															Академия	ДГУ		Даргинский язык			2002	The Dargwa language		
BOOK	musaev2018	Moscow		Мусаев, Кенесбай М.															Наука			Ногайско-русский словарь			2018	Nogai-Russian dictionary		
MISC	musaeva2010	Makhachkala		Мусаева, Зухра Х.											Автореферат диссертации на соискание учёной степени кандидата филологических наук				ИЯЛИ			Служебные части речи в даргинском и английском языках			2010	Auxiliary parts of speech in Dargwa and English		
BOOK	mutalov2002	Makhachkala		Муталов, Расул О.															Издательско-полигрофический центр ДГУ			Глагол Даргинского языка			2002	The verb in Dargwa		
INCOLLECTION	mutalov2018	Leiden		Mutalov, Rasul	The semantics of verbal categories in Nakh-Daghestanian languages				Forker, Diana and Maisak, Timur									49--79	Brill			The tense/aspect system of Standard Dargwa			2018			
BOOK	naftaliev2016	Moscow		Нафталиев, Мардахай Н.															СТМЭГИ			Еврейско (джуури)-русский словарь			2016	Juhuri-Russian dictionary		
INCOLLECTION	nichols1994	Delmar, NY		Nichols, Johanna	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2				Smeets, Rieks									1--77	Caravan Press			Chechen			1994			
INCOLLECTION	nichols1994ingush	Delmar, NY		Nichols, Johanna	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2				Smeets, Rieks									79--145	Caravan Press			Ingush			1994			
BOOK	nichols2011	Berkeley/Los Angeles		Nichols, Johanna															University of California Press			Ingush grammar			2011			
MISC	nicholssite	Berkeley/Los Angeles		Nichols, Johanna											Accessed: 2021-12-17				University of California Press			Useful phrases in Ingush			2021			http://linguistics.berkeley.edu/~ingush/useful_phrases.html
MISC	omniglotGM			Ager, Simon											Accessed: 2021-12-17							Good morning in many languages			2021			https://omniglot.com/language/phrases/goodmorning.htm
MASTERSTHESIS	pasquereau2010			Pasquereau, Jérémy																Université Lumière Lyon II		Formes spatiales des noms en karata: emplois spatiaux et non-spatiaux			2010			
MISC	pasquereaudraft2020	Berlin/New York		Pasquereau, Jérémy	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			Karata			2020			
MISC	polinskydraft2015			Polinsky, Maria																		Tsez Syntax: A Description			2015			
ARTICLE	ramattopadze2007			Giacalone Ramat, Anna and Topadze, Manana								Rivista di Linguistica				1		7--38				The coding of evidentiality: a comparative look at Georgian and Italian.		19	2007			
BOOK	ramazanov2010	Makhachkala		Рамазанов, Муслим Р.															Лотос			Агульско-русский словарь			2010	Agul-Russian dictionary		
INCOLLECTION	saadiev1994	Delmar, NY		Saadiev, Sh. M.	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2				Smeets, Rieks									407--446	Caravan Press			Kryts			1994			
BOOK	saidova1973	Makhachkala		Саидова, Патимат А.															ИЯЛИ			Годоберинский язык. Грамматический очерк, тексты, словарь			1973	Godoberi. Grammar, texts, dictionary		
INCOLLECTION	saidova2001	Moscow		Саидова, Патимат А.	Языки Российской Федерации и соседних государств. Энциклопедия в трех томах													222--228	Academia			Ботлихский язык			2001	Botlikh	The languages of Russia and adjacent states. Encyclopaedia in three volumes	
BOOK	saidova2006	Makhachkala		Саидова, Патимат А.															ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка			Годоберинско-русский словарь			2006	Godoberi-Russian dictionary		
BOOK	saidova2007	Makhachkala		Саидова, Патимат А.															ИЯЛИ			Закатальский диалект аварского языка			2007	The Zaqatala dialect of Avar		
BOOK	saidova2008	Saint-Petersburg		Саидова, Патимат А.															Наука			Диалектологический словарь аварского языка			2008	Avar dialect dictionary		
BOOK	saidovaabusov2012	Makhachkala		Саидова, Патимат А. and Абусов, Магомед Г.															ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка			Ботлихско-русский словарь			2012	Botlikh-Russian dictionary		
BOOK	salimov2010	Makhachkala		Салимов, Хангерей Саидович															ИЯЛИ			Гагатлинский говор андийского языка			2010	The Gagatli dialect of Andi		
BOOK	schulze1982	Wiesbaden		Schulze, Wolfgang															Otto Harrasowitz			Die Sprache der Uden in Nord-Azerbajdžan			1982			
MISC	schulze2005			Schulze, Wolfgang																		A functional grammar of Udi			2005			
INCOLLECTION	schulze2016khinalug	Berlin/Boston		Schulze, Wolfgang	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3605--3622	De Gruyter Mouton			Khinalug			2016			
INCOLLECTION	schulze2016lak	Berlin/Boston		Schulze, Wolfgang	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3622--3638	De Gruyter Mouton			Lak			2016			
INCOLLECTION	schulze2016udi	Berlin/Boston		Schulze, Wolfgang	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3564--3578	De Gruyter Mouton			Udi			2016			
PHDTHESIS	shakhbanova2007			Шахбанова, Джума Н.																Дагестанский Государственный Педагогический Университет		Бутринский говор даргинского языка			2007	The Butri dialect of Dargwa		
INCOLLECTION	shejkhov1983	Черкесск		Шейхов, Энвер М.	Система превербов и послелогов в иберийско-кавказских языках				Табулова, Нурья Т. and Темирова, Раиса X.									282--287	Карачаево-черкесский НИИ истории, филологии и экономики			Система послелогов в будухском языке			1983	The system of postpositions in Budukh	The system of preverbs and postpositions in Caucasian languages	
BOOK	shiralievsevortyan1971	Baku		Ширалиев, Мамедага Ш. and Севортян, Эрванд В.															Элм			Грамматика азербайджанского языка (фонетика, морфология, синтаксис)			1971	Azerbaijani grammar (phonetics, morphology, syntax)		
INCOLLECTION	sosenskaja1999	Moscow		Сосенская, Татьяна Б.	Элементы цахурского языка в типологическом освещении				Кибрик, Александр Е. and Татевосов, Сергей Г.									560--568	Наследие			Сравнительные конструкции			1999	Comparative constructions	Elements of the Tsakhur language in a typological perspective	
INCOLLECTION	sosenskaja1999num	Moscow		Сосенская, Татьяна Б.	Элементы цахурского языка в типологическом освещении				Кибрик, Александр Е. and Татевосов, Сергей Г.									152-180	Наследие			Числительное			1999	Numeral	Elements of the Tsakhur language in a typological perspective	
INCOLLECTION	sosenskaja1999post	Moscow		Сосенская, Татьяна Б.	Элементы цахурского языка в типологическом освещении				Кибрик, Александр Е. and Татевосов, Сергей Г.									121--129	Наследие			Послелог			1999	Postposition	Elements of the Tsakhur language in a typological perspective	
INCOLLECTION	sosenskaja2001	Moscow		Сосенская, Татьяна Б.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									408--424	Наследие			Сравнительные конструкции			2001	Comparative constructions	The Bagvalal language. Grammar, texts, dictionaries	
INCOLLECTION	sosenskaja2001pp	Moscow		Сосенская, Татьяна Б.	Багвалинский язык. Грамматика, тексты, словари.				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									405--407	Наследие			Послеложная группа			2001	Postpositional phrase	The Bagvalal language. Grammar, texts, dictionaries	
INCOLLECTION	sosenskajatatevosov1996	Munich/Newcastle		Sosenskaja, Tatjana and Tatevosov, Sergej	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									167--169	Lincom Europa			Comparative construction			1996			
ARTICLE	sulejmanova2013			Сулейманова, Джавгарат И.								Вестник ВЭГУ				3		195--198				Названия животных в ботлихском языке		65	2013	Animal names in Botlikh		
PHDTHESIS	suleymanov1957	Moscow		Сулейманов, Я. Г.																Институт языкознания РАН СССР		Грамматический очерк андийского языка (по данным говора с. Риквани)			1957	A grammar sketch of Andi (based on data from the Rikvani dialect)		
BOOK	sumbatovalander2014	Moscow		Сумбатова, Нина Р. and Ландер, Юрий А.															Языки славянской культуры			Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса			2014			
BOOK	sumbatovamutalov2003	Munich		Sumbatova, Nina R. and Mutalov, Rasul O.															Lincom Europa			A Grammar of Icari Dargwa			2003			
BOOK	talibov2007	Moscow		Талибов, Букар Б.															Академия			Будухский язык			2007	Budukh		
BOOK	talibovgadzhiev1966	Moscow		Талибов, Букар Б. and Гаджиев, Магомед М.															Советская Энциклопедия			Лезгинско-русский словарь			1966	Lezgian-Russian dictionary		
INCOLLECTION	tatevosov1996	Munich/Newcastle		Tatevosov, Sergej	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									20—35	Lincom Europa			Attributives			1996			
INCOLLECTION	tatevosov1996b	Munich/Newcastle		Tatevosov, Sergei	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									237-255	Lincom Europa			Quantification			1996			
ARTICLE	tatevosov2001			Tatevosov, Sergei								Journal of Pragmatics				3		443--464				From resultatives to evidentials: Multiple uses of the perfect in Nakh-Daghestanian languages		33	2001			
INCOLLECTION	tatevosov2001gramtense	Moscow		Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									105--115	Наследие			Аналитические глагольные формы			2001	Analytical verb forms	The Bagvalal language. Grammar, texts, dictionaries	
INCOLLECTION	tatevosov2001numerals	Moscow		Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									155--159	Наследие			Числительное			2001	Numeral	The Bagvalal language. Grammar, texts, dictionaries	
INCOLLECTION	tatevosov2007	Saint-Petersburg		Татевосов, Сергей Г.	Эвиденциальность в языках Европы и Азии: сборник статей памяти Натальи Андреевны Козинцевой				Храковский, Виктор С.									351--397	Наука			Эвиденциальность и адмиратив в багвалинском языке			2007	Evidentiality and admirative in Bagvalal	Evidentiality in the languages of Europe and Asia: papers in honor of Natal'ja Andreevna Kozinceva	
BOOK	temirbulatova2004	Makhachkala		Темирбулатова, Сапияханум М.															Институт языка, литературы и искусства им. Г. Цадасы			Хайдакский диалект даргинского языка			2004	Khaidak dialect of Dargwa		
INCOLLECTION	testelecxalilov1998	Moscow		Тестелец, Яков Г. and Халилов, Маджид Ш.	Языки мира. Кавказские языки				Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.									44--53	Academia			Бежтинский язык			1998	Bezhta	Languages of the world. Caucasian languages	
BOOK	vandenberg1995	Munich		van den Berg, Helma															Lincom			A grammar of Hunzib			1995			
BOOK	vandenberg2001	Leiden		van den Berg, Helma															CNWS			Dargi folktales. Oral stories from the Caucaus with an introduction to Dargi grammar			2001			
INCOLLECTION	verhees2018	Amsterdam		Verhees, Samira	Tense, aspect, modality and evidentiality: Cross-linguistic perspectives				Ayoun, Dalila and Celle, Agnès and Lansari, Laure									261--280	John Benjamins			The perfect in Avar and Andi: Cross-linguistic variation among two closely related East Caucasian languages			2018			
MISC	verheesnaccarato2019			Verhees, Samira and Naccarato, Chiara																		Towards a tentative origin of animacy markers in Botlikh			2019			
INCOLLECTION	wilson2021	Moscow		Wilson, Daniel J.	Дурхъаси хазна. Сборник статей к 60-летию Р. О. Муталова				Майсак, Тимур А. and Сумбатова, Нина Р. and Тестелец, Яков Г.									386--410	Институт языкознания РАН			A sketch of Sagada morphology			2021		Durqasi χazna. A collection of papers for R. O. Mutalov’s 60th birthday	
ARTICLE	xalidova2017			Халидова, Рашидат Ш.								Вестник Академии наук Чеченской республики				1		77--81				Лингвистический портрет ботлихского языка		34	2017	A linguistic portrait of the Botlikh language		
INCOLLECTION	xalilov1998	Moscow		Халилов, Маджид Ш.	Языки мира. Кавказские языки				Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.									62--73	Academia			Цезский язык			1998	Tsez	Languages of the world. Caucasian languages	
BOOK	xalilov1999	Makhachkala		Халилов, Маджид Ш.															ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка			Цезско-русский словарь			1999	Tsez-Russian dictionary		
BOOK	xalilov2015	Makhachkala		Халилов, Маджид Ш.															ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка			Словарь бежтинского языка			2015	A dictionary of the Bezhta language		
BOOK	xalilovisakov2005	Makhachkala		Халилов, Маджид Ш. and Исаков, Исак А.															ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка			Гинухско-русский словарь			2005	Hinuq-Russian dictionary		
BOOK	xanmagomedovshalbuzov2001	Moscow		Ханмагомедов, Бейдуллах Г-.К. and Шалбузов, Ким Т.															Наука			Табасаранско-русский словарь			2001	Tabasaran-Russian dictionary		
BOOK	yusupov2014	Makhachkala		Юсупов, Хизри А.															Институт истории, языка и литературы им. Г. Цадасы			Даргинско-русский словарь (рукопись)			2014	Dargwa-Russian dictionary (manuscript)		
BOOK	zhirkov1936	Moscow		Жирков, Лев И.															"Государственный институт """"Советская энциклопедия"""""			Аварско-русский словарь			1936	Avar-Russian dictionary		
BOOK	zhirkov1948	Moscow/Leningrad		Жирков, Лев И.															Издательство Академии наук СССР			Табасаранский язык. Грамматика и тексты			1948	The Tabasaran language. Grammar and texts		
BOOK	zhirkov1955	Moscow		Жирков, Лев И.															Академия			Лакский язык			1955	Lak		
MISC	haukharrisdraft2022	Berlin/New York		Hauk, Bryn and Harris, Alice C.	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			Batsbi			2022			
MISC	molochievakomendraft2022	Berlin/New York		Molochieva, Zarina and Komin, Erwin R.	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			Chechen			2022			
BOOK	tagiyev2006a	Baku							Tağıyev, M. T.										Şərq-Qərb			Azərbaycanca-rusca lüǧet. Dörd cilddə. I cild			2006	Azerbaijani-Russian Dictionary. 4 volumes. Vol. I		
BOOK	tagiyev2006b	Baku							Tağıyev, M. T.										Şərq-Qərb			Azərbaycanca-rusca lüǧet. Dörd cilddə. II cild			2006	Azerbaijani-Russian Dictionary. 4 volumes. Vol. II		
BOOK	tagiyev2006c	Baku							Tağıyev, M. T.										Şərq-Qərb			Azərbaycanca-rusca lüǧet. Dörd cilddə. III cild			2006	Azerbaijani-Russian Dictionary. 4 volumes. Vol. III		
BOOK	tagiyev2006d	Baku							Tağıyev, M. T.										Şərq-Qərb			Azərbaycanca-rusca lüǧet. Dörd cilddə. IV cild			2006	Azerbaijani-Russian Dictionary. 4 volumes. Vol. IV		
BOOK	rudenko1940	Moscow/Leningrad		Руденко, Борис Т.															Издательство Академии наук СССР			Грамматика грузинского языка			1940	A grammar of the Georgian language		
INCOLLECTION	sosenskaja2001advp	Moscow		Сосенская, Татьяна Б.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									168--172	Наследие			Наречие и послелог			2001	Adverb and postposition	The Bagvalal language. Grammar, texts, dictionaries	
BOOK	baskakov1973	Cherkessk		Баскаков, Николай А.															Карачаево-Черкесское отделение Ставропольского книжного издательства			Грамматика ногайского языка. Часть 1. Фонетика и морфология			1973	Nogai grammar. Part 1. Phonetics and morphology		
BOOK	abdullaev2018	Makhachkala		Абдуллаев, Иса Х.															ИЯЛИ			Лакско-русский словарь			2018	Lak-Russian dictionary		
BOOK	kibrikkodzasov1988	Moscow		Кибрик, Александр Е. and Кодзасов, Сандро В.															Издательство Московского Университета			Сопоставительное изучение дагестанских языков. Глагол			1988	A comparative study of Daghestanian languages. Verb		
INCOLLECTION	murkelinskij1983	Cherkessk		Муркелинский, Гаджи Б.	Система превербов и послелогов в иберийско-кавказских языках				Табулова, Нурья Т. and Темирова, Раиса Х.									183--187	"Карачаево-Черкесский ордена """"Знак почёта"""" научно-исследовательский институт истории, филологии и экономики"			О послелогах-наречиях, выражающих пространственные отношения в лакском языке			1983	Adverb-postpositions expressing spatial relations in Lak	The system of preverbs and postpositions in Caucasian languages	
BOOK	abdullaev2007	Makhachkala		Абдуллаев, Иса Х.															Дагестанский научный центр РАН, Институт языка, литературы и искусства имени Г. Цадасы			Лакский язык в историко-сравнительном освещении. Морфология			2007	Lak language in historical-comparative perspective. Morphology		
BOOK	alekseev1985	Moscow		Алексеев, Михаил Е.															Наука			Вопросы сравнительно-исторической грамматики лезгинских языков. Морфология. Синтаксис			1985	Problems of the comparative grammar of Lezgic languages. Morphology. Syntax		
ARTICLE	daniel2021			Даниэль, Михаил А.								Rhema				2		102--130				Согласование по косвенности в нахско-дагестанских языках: обзор эмпирических данных			2021	Agreement in obliqueness in East Caucasian: A formal survey		
INCOLLECTION	toldova1996	Munich/Newcastle		Toldova, Svetlana	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									217--226	Lincom Europa			Reflexivization			1996			
