source_type	category	bibtexkey	language	idiom	type	comment	screenshot	archived	contributor	comment_CN	checked
other	article	tatevosov2001	Dargwa	Itsari	village		no	yes			Y
other	incollection	tatevosov2001gramtense	Bagvalal	Kvanada	village		no	kibrik2001			Y
other	incollection	tatevosov2001numerals	Bagvalal	Kvanada	village		no	kibrik2001	Maksim Melenchenko		Y
other	incollection	tatevosov2007	Bagvalal	Kvanada	village		no	kibrik2001			Y
grammar	book	temirbulatova2004	Dargwa	Kaitag	dialect_toplevel		no	yes			Y
other	incollection	testelecxalilov1998	Bezhta	Bezhta	dialect_toplevel	CN: not sure about type	no	alekseevetal1998	Chiara Naccarato		Y
grammar	book	vandenberg1995	Hunzib	Hunzib	language	Data collected in different villages, but van den Berg claims there is no significant difference between them.	yes	yes			Y
other	book	vandenberg2001	Dargwa	Standard Dargwa	language		no	yes			Y
other	incollection	verhees2018	Avar	Khunzakh	village		no	yes			Y
other	incollection	verhees2018	Andi	Rikvani	village		no	yes			Y
other	unpublished	verheesnaccarato2019	Botlikh	Botlikh	village	Also presents data from other Andic languages.	no	no			Y
other	incollection	wilson2021	Tsez	Sagada	village		no	no	Polina Smyr		Y
grammar	article	xalidova2017	Botlikh	Botlikh	village		no	yes			Y
other	incollection	xalilov1998	Tsez	Tsez	language		no	alekseevetal1998	Maksim Melenchenko	check idiom and type and add in the main biblib	Y
dictionary	book	xalilov1999	Tsez	Kidero	dialect_nt1		no	yes			Y
dictionary	book	xalilov2015	Bezhta	Bezhta	dialect_toplevel		no	yes			Y
dictionary	book	xalilovisakov2005	Hinuq	Hinuq	village		no	yes			Y
dictionary	book	xanmagomedovshalbuzov2001	Tabasaran	Standard Tabasaran	language		no	yes			Y
dictionary	book	yusupov2014	Dargwa	Standard Dargwa	language		no	yes	Polina Smyr		Y
dictionary	book	zhirkov1936	Avar	Standard Avar	language		no	yes	Polina Smyr		Y
grammar	book	zhirkov1955	Lak	Standard Lak	language	The original file said Standard / Kumukh. I don’t think that’s accurate.	yes	yes			Y
