id	language	idiom	type	genlang_point	map	form_type	form	form:base_source_label	form:lex	form:lex_source_label	form:lex_unif	value:lex	form:aux	form:aux_source_label	form:aux_unif	feature	value:aux	value1	value1_name	value:resultative	value2	value2_name	value:experiential	value:indirect_evidentiality	source	page	comment	contributor	example_as_in_source	example	translation as in source	translation	gloss_source	gloss	example_source	example_page	example_comment	date
55	Khwarshi	Kwantlada	village	no	no	resultative	-un goli		-un	perfective converb	converb	converb	goli		copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	khalilova2009	191; 230--231	There is also a difficult to evaluate General Resultative Tense with a present tense auxiliary and a future-like meaning (Khalilova 2009: ). The resultative can also have an inferential implicature (Khalilova 2009: 230).	Samira Verhees	mo endu-l Ø-ot’q’-un goli?	mo ẽdu-l ot’q’-un goli?	Did you come home? [The speaker is on the phone and cannot see the addressee, so he is asking whether he is at home or not.]				khalilova2009	230	Example of resultative with indirect evidential overtones.	2.202
56	Khwarshi	Kwantlada	village	yes	yes	perfect	-un		-un	perfective converb	converb	converb				Perfect	no auxiliary	synthetic	Structure	not attested	not attested	Current relevance	not attested	attested	khalilova2009; khalilova2011	222--229; NA		Samira Verhees	m-eλ’-un šayt’an q’udu-n b-eč-zaha-li		The devil went to the place where (people) were sitting. (the speaker did not see this)		iii-go-pst.uw devil(iii) down-and hpl-be-loc.cvb-lat		khalilova2011	36		2.202
57	Kryz	Alik	village	no	no	resultative	džija-CM		< -dži	perfective converb	converb	converb	< ja-	copula	copula	Perfect	morphologized	synthetic	Structure	attested	not attested	Current relevance	not attested	not attested	maisak2021			Samira Verhees	rikeʕ ʕa-rç’ar-ciz ik-re ki harşay t’u-t’a-ci ğa-yts’a-ciya		En entrant dans la cour, il voit que tout est sans dessus dessous		door.in pv-enter-simul look-prs ki everything pv-scatter-seq pv-spread-result		authier2009	268	This particular example seems to have zero class marking.	2.202
58	Kryz	Alik	village	yes	yes	perfect	dža		< -dži	perfective converb	converb	converb	< ja	copula	copula	Perfect	morphologized	synthetic	Structure	attested	attested	Current relevance	attested	not attested	maisak2021; authier2009	NA; 266--267		Samira Verhees	za pek’-rimi va-var ğayra hiçan-iğ ği-d-q’u-de-d		Mes lèvres n’ont jamais touché personne d’autre que toi.		1sg lip-pl 2-adel excepted nobody-super pv-n-reach-negperf-n		authier2009	88	Example also cited in Maisak (To appear).	2.202
60	Kumyk	Standard Kumyk	language	no	yes	perfect	-Ip tur-a		-Ip		converb	converb	tur-a		aux	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	not attested	johanson2018	515		Samira Verhees	gel-ip tur-a		X has come				johanson2018	515	Terrible example.	2.202
59	Kumyk	Standard Kumyk	language	yes	yes	perfect	-ʁAn-[PERSON]		-ʁAn-[PERSON]		participle	participle				Perfect	no auxiliary	synthetic	Structure	attested	attested	Current relevance	attested	attested	abdullaevaetal2014; johanson2018	331--334; 514--517	Form of suffix changes in context.	Samira Verhees	Къарагъанда, кагъызны сен язгъансан		Судя по всему, письмо написал ты.				abdullaevaetal2014	333	Example of inference from general reasoning.	2.202
61	Lak	Standard Lak	language	yes	yes	perfect	-unu CM-ur		-unu	past gerund	converb	converb	CM-ur		copula	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	attested	friedman2007; friedman1984	362--363; 140	Interpretation (at least for transitive verbs) depends on case form of the subject. According to Friedman (1984) there is no “pure resultative” in Lak.	Samira Verhees	Ga-na-l b-a-w-ẋː-unu b=ur čwu		[Apparently] he sold the horse.		he-obl-gen 3-sell-3-$-past.ger 3-is horse		friedman2007	362	Genitive = ergative. There’s a diacritic on the x in the original example which I can’t find.	2.202
62	Lezgian	Standard Lezgian	language	yes	yes	perfect	-nwa / -nawa		< -na	Aorist converb	converb	converb	< awa	copula	copula	Perfect	morphologized	synthetic	Structure	attested	attested	Current relevance	not attested	not attested	haspelmath1993	131--132, 143--145	Aorist converb is distinct from finite Aorist only when negated. Locative auxiliary ‘be in’ (Maisak To appear).	Samira Verhees	Kwe-z telegramma ata-nwa!		A telegram has come for you all!		you.all-dat telegram come-prf		haspelmath1993	144	Example of “hot news” / current relevance.	2.202
63	Nogai	Standard Nogai	language	no	yes	perfect	-Ip(tI)-[PERSON]		-Ip	деепричастие	converb	converb	< tI		aux	Perfect	morphologized	synthetic	Structure	attested	attested	Current relevance	not attested	attested	baskakov1940; johanson2018	105; 514--517	Originates from converb -Ib + auxiliary tur-ur ‘stands’, according to Johanson (2018: 515). Form changes in context.	Samira Verhees	мен урускъан заманда къардашым анайгъа кетипти		в то время, когда я заругался, мой брат пошел к матери				baskakov1940	106	Not sure what kind of example this is.	2.202
64	Nogai	Standard Nogai	language	yes	yes	perfect	-ʁAn-[PERSON]		-ʁAn	причастие	participle	participle				Perfect	no auxiliary	synthetic	Structure	attested	attested	Current relevance	not attested	not attested	baskakov1940; johanson2018; kalmykovasarueva1973	108--109; 514--517; 232	No evidential meaning described in Baskakov (1940), though it seems to appear as a narrative tense in the fairy tales he recorded.	Samira Verhees	кыш та болмагъан, йазгъа шыкъкъанда атасы ман анасы кедеди уьйротпоьгоь къазаьйин излеген		когда уже прошла зима и наступило лето, его отец и мать нашли хозяина, который учил бы их сына				baskakov1940	109	Not sure what kind of example this is.	2.202
66	Rutul	Rutul	village	no	no	experiential	-d i	perfective stem	-d	attributive	participle	participle	i	auxiliary verb	aux	Perfect	full auxiliary	periphrastic	Structure	not attested	not attested	Current relevance	attested	not attested	maisak2021			Samira Verhees	za-s vɨ-dɨ did.i-kj-laa un qɨˁχˁɨ-d I, jiǯ sadaki hagu-d diš.		I have heard mucht about your father, but I have never seen him.		i-dat you.gen-atr father-cont-elat hearing beat.pfv-atr cop however never see.pfv-atr cop.neg		maisak2021	105	Example of experiential.	2.202
65	Rutul	Luchek	village	yes	yes	perfect	-ɨr a // ʔa	terminative stem	-ɨr	terminative gerund	converb	converb	a // ʔa	auxiliary verb	aux	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	alekseev1994; maisak2021	230--233; NA		Samira Verhees	anuc lu<r>ku-r ʔa		Anuts is lying.		Anuts <CL>lie.down.pfv-cvb be.in.prs		maisak2021	103	Example of resultative. Example originally from another source.	2.202
67	Tabasaran	Southern Tabasaran	dialect_toplevel	yes	yes	perfect	-na		-na < -un	perfective converb	converb	converb	< a	auxiliary ‘be in’	aux	Perfect	morphologized	synthetic	Structure	attested	attested	Current relevance	not attested	not attested	maisak2021			Samira Verhees	uwu läχˁin d-ap’-na=wa, hamus ʁaraχ sejir ap’-in!		You have done your work, now go and take a walk!		you work pv-do.pfv-prf=2sg now go.away.imp walk do-imp		maisak2021	101	Example of current relevance meaning; original source is different.	2.202
69	Tindi	Tindi	village	no	no	resultative	-u-CM ija		-u-CM	perfective participle	participle	participle	ija	copula	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	authierdraft2020			Samira Verhees	am-loo hiƛ’i la w-aχ-o ʕaajm-ɬ-u-w ija o-w		He is crippled after having fallen from the roof.		roof-superel down add m-rush-seq cripple-vblz-pf.ptcp-m cop 3-m		authierdraft2020		Example of resultative.	2.202
68	Tindi	Tindi	village	yes	yes	perfect	-oː / -õː / -idoː		< -o / õ	деепричастие	converb	converb	< ija	связка	copula	Perfect	morphologized	synthetic	Structure	attested	attested	Current relevance	not attested	attested	magomedova2012; authierdraft2020	171; NA	Copula reappears in negation. Converb is equal to Past. Allomorph idoː appears with hpl agreement (Authier 2020).	Samira Verhees	dee makwas-oo		I am hungry.		1.nom be_hungry-perf		authierdraft2020		Example of resultative.	2.202
70	Tsakhur	Mishlesh	village	no	yes	perfect	pfv.stem wo-CM-un	perfective stem	Ø	perfective converb	converb	converb	wo-CM-un	attributivized copula	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	maisaktatevosov2007			Samira Verhees	zɨ akːa āq-ɨ wo-d-un		I have opened the door.		1sg.erg door.4 4.open-pfv aux-4-a		maisaktatevosov2007	381	Example of current relevance meaning.	2.202
71	Tsakhur	Mishlesh	village	yes	yes	perfect	pfv.stem wo-CM	perfective stem	Ø	perfective converb	converb	converb	wo-CM	copula	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	attested	maisaktatevosov2007		Copula heads other indirect tenses as well.	Samira Verhees	zɨ akːa āq-ɨ wo-d		{I see that} I opened the door {but I don’t remember it}.		1sg.erg door.4 4.open-pfv aux-4		maisaktatevosov2007	381	Example of indirect evidentiality with first person effect.	2.202
72	Tsez	Asakh	dialect_nt1	yes	yes	perfect	-no/-n		-no/-n	perfective converb	converb	converb				Perfect	no auxiliary	synthetic	Structure	not attested	not attested	Current relevance	not attested	attested	khalilova2011; comriepolinsky2007	NA; NA		Samira Verhees	zow-n zow-n-ānu sis c’oɣor.		Once upon a time there was (lit.: there was, there wasn’t) a thief.		be-pstunw be-pstunw-neg one thief		comriepolinsky2007	343	Example of indirect evidentiality.	2.202
21	Tsova-Tush	Zemo-Alvani	village	no	no	indirect evidential	-no	aorist	-no		unclear	other				Perfect	no auxiliary	synthetic	Structure	not attested	not attested	Current relevance	not attested	attested	holiskygagua1994	179--183	"-no is also the participle/converb suffix, it attaches to aorist to form """"reported aorist"""", another morpheme -lo exists, which is homophonous with the subjunctive and forms reported equivalents of tenses other than the aorist."	Samira Verhees									Found no example of use so far.	2.202
73	Udi	Nizh	village	no	yes	perfect	<PERSON>-ijo		-ijo	субстантивированное перфективное причастие	participle	participle				Perfect	no auxiliary	synthetic	Structure	attested	attested	Current relevance	attested	not attested	maisak2016		Called Perfect II in Maisak (2016).	Samira Verhees	valla, uˁʁ-e=z, lac-i bas=ez=kː-ijo		{Бригадир спрашивает у сидящего на стоге сена мужика, что он там делает. Тот говорит: - Ничего особенного.} Клянусь, я (просто) выпил, поднялся сюда и заснул.		клянусь пить-perf=1sg, подниматься-aoc спать=1sg=st-perf2		maisak2016	371	Not sure what kind of example this is.	2.202
74	Udi	Nizh	village	yes	yes	perfect	-e=[PERSON]		-e=[PERSON]		suffix	other				Perfect	no auxiliary	synthetic	Structure	attested	attested	Current relevance	attested	not attested	maisak2018		Reconstructed as periphrastic by Maisak (2018: 158), based on negation. Reconstructed form of the lexical verb is the form in -i, which functions as Aorist, Perfective Participle and Aorist Converb.	Samira Verhees	tä, šo pːur-e=ne		{A: Is our old teacher still alive? B:} No, he has died.		no dist:na die-prf=3sg		maisak2018	136	Example of current relevance.	2.202
75	Juhuri	Juhuri	language	yes	yes	perfect	-de/re-[PERSON]		-de/re-[PERSON]	participe	participle	participle	[PERSON]	désinences personnelles fusionnées	copula	Perfect	morphologized	synthetic	Structure	attested	attested	Current relevance	not attested	not attested	authier2012	188--191	"Perfect only has some evidential meaning """"in context"""" according to Authier (2012: 190)."	Samira Verhees	zen=me me=re dermu do-ri xis-un-di.		Ma femme m’aura donné quelque somnifère.	My wife has (probably) given me a sleeping pill.	wife=1 1=dat medicine give-perf3 sleep-caus-perf3		authier2012	190	This example has evidential meaning according to Authier (2012: 190).	2.202
76	Juhuri	Juhuri	language	yes	yes	resultative	-de/re=i		-de/re=i	participe	participle	participle	i	copula 3	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	authier2012	188--191	The copula is cliticized but not reduced.	Samira Verhees	süfre=y en pineçi xub varayun-de=i.		La table du cordonnier est bien garnie.	The shoemaker's table is well-stocked/covered.	table=ez gen cobbler well arrange-part=cop3		authier2012	191		2.202
77	Georgian	Standard Georgian	language	yes	yes	perfect	-i/-il-[PERSON]		-i/-il-[PERSON]	perfect	suffix	other				Perfect	no auxiliary	synthetic	Structure	not attested	not attested	Current relevance	attested	attested	boeder2000		Describes experiential, indirect evidential and mirative meanings, and a number of other meanings not considered in typology.	Samira Verhees	ukan dabruneb-ul-i ara-vin unaxavt		Nobody has ever seen anybody who returned [from there].'		back return-pp-nom no_one they_have_seen_him.perf		boeder2000			2.202
