id	family 	group	lang	idiom	type	genlang_point	map	feature	expression_type	value_in_source	value_semantics	dictionary_value	dictionary_source	value1	value1_name	value2	value2_name	lexical_verb_form	source	page	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date
61	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	abdullaevaetal2014	279		Daria Izmalkova	-ɯt;-it;-ut;-yt;-t		bašla-t	заставлать начинать	force to start	?statr-CAUS	khangishiev(abdullaevaetal2014)	279		6.2023
62	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	abdullaevaetal2014	279		Daria Izmalkova	-ɯr;-ir;-ur;-yr;-r		gёč-yr	переводить	translate	?	khangishiev(abdullaevaetal2014)	279		6.2023
63	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	abdullaevaetal2014	279		Daria Izmalkova	-ar;-er		get-er	заставить уйти	force to leave	?leave-CAUS	khangishiev(abdullaevaetal2014)	279		6.2023
64	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	abdullaevaetal2014	279		Daria Izmalkova	-ɯz;-iz		aʁ-ɯz	течь;лить	pour	?flow-CAUS	khangishiev(abdullaevaetal2014)	279		6.2023
65	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Causative expression type	light verb	вспомогательный глагол	do	делать;сделать;сотворить;произвести;построить;изготовить;собрать;совершить;родить;лишить;оставить без чего-л.	abdullaev2015	light verb	Extent of boundedness	only light verb 	Attested expression types	infinitive(imperfective)/participle(perfective)	zhirkov1955	112		Daria Izmalkova	CM-an		čičin an	заставить (кого-нибудь) писать	force (someone) to write	write do	zhirkov1955	112		6.2023
66	East Caucasian	Lak	Lak	Standard Lak	language	no	no	Causative expression type	light verb	сочетание глагола и инфинитивного оборота	leave	оставить;сберечь;назначить кого-л. куда-л.;определить кого-л. куда-л.;выстрелить;светить;сиять(солнце, луна, радуга, свет);пасть, покрыть что-л. (роса, иней);разрешить, позволить (в знач. служебного глагола)	abdullaev2015	light verb	Extent of boundedness	only light verb 	Attested expression types	infinitive	kazenin2013	111	permissive	Daria Izmalkova	CM-it-an		Barzulawl cala өrč'ru mяjwa hantlij qatluwa bukkan qabiwtuna	Барзулав восемь дней не позволял своим детям выйти из дома	?Barzulaw didn't let his children leave the house for eight days	?	kazenin2013	112		6.2023
67	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	masdar stem	haspelmath1993	163		Daria Izmalkova	-(a)r-		ksu-r-un	put to bed	put to bed	sleep-CAUS-?INF	haspelmath1993	163		6.2023
68	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	no	no	Causative expression type	light verb	complement-taking verb	leave	оставлять;пускать;допускать;заставить	talibovgadzhiev1966	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	haspelmath1993	163,358	causitivization of transitive verbs	Daria Izmalkova	tu-n		Ada ča-w 0 iχtilat-ar aqwazar-iz ta-da-j.	He would make us stop the conversations	He would make us stop the conversations	he.ERG we-ADEL 0(ERG) conversation-PL stop-INF  cause-FUT-PST	haži1977	358		6.2023
69	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	baskakov1973	213	there is a whole series of causitive suffixes (pp. 213-215) ( baskakov 1940: + -r, -ʁys;-ʁyz, -qχys;-qχyz,; baskakov 1973: + -kar;-ker(archaic)).	Daria Izmalkova	-dɯr;-dir;-tɯr;-tir		bil-dir	заставить знать	force to know	know-CAUS	baskakov1940	86		6.2023
70	Turkic	Kipchak	Nogai	Standard Nogai	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	baskakov1973	213		Daria Izmalkova	-t;-l;-r;-ɯt;-it		isle-t	заставить работать	force to work	work-CAUS	baskakov1973	213		6.2023
71	Turkic	Kipchak	Nogai	Standard Nogai	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	baskakov1973	214		Daria Izmalkova	-ar;-er-;-ɯr;-ir		kaš-ɯr	дать убежать способствовать бегству	allow to run,  help escape	?run-CAUS	baskakov1973	214		6.2023
72	Turkic	Kipchak	Nogai	Standard Nogai	language	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	baskakov1973	214		Daria Izmalkova	-gɯz;-giz;-kɯz;-kiz;-ɯz;-iz		tur-gɯz	заставить встать, помочь встать, поднимать	force to get up, help get up, lift	?get_up-CAUS	baskakov1973	214		6.2023
73	East Caucasian	Lezgic	Rutul	Mukhad	dialect_nt1	yes	yes	Causative expression type	light verb	вспомогательный глагол	give	давать;вручать	alisultanovsuleimanova2019	suffixal auxiliary	Extent of boundedness	suffixal auxiliary & light verb 	Attested expression types	infinitive	maxmudova2001	91--99	there is no synthetic causative in Rutul	Daria Izmalkova	wy-s		z-a wa-d-a z-aa umud w-aʔa-s wy-ri	Я заставил тебя надеяться на себя.	I forced you to rely on yourself	1SG-ERG 2SG-?ADD-ESS. 1SG-SUPER-ESS hope-ABS 3-do-INF give-PST	makhmudova2001	95		6.2023
74	East Caucasian	Lezgic	Rutul	Mukhad	dialect_nt1	no	no	Causative expression type	suffixal auxiliary	вспомогательный глагол	do	делать;производить;изготавливать	alisultanovsuleimanova2019	suffixal auxiliary	Extent of boundedness	suffixal auxiliary & light verb 	Attested expression types	stem	maxmudova2001	91--99		Daria Izmalkova	haʔa-s		riši-re χɨnɨχ q'ux-a hyʔɨ-ri	Сестра вырастила мальчика.	The sister raised the boy	sister-ERG boy-ABS adult-?(им. часть) do-PST	makhmudova2001	93		6.2023
75	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	Causative expression type	light verb	“Cette tournure est introduite par le verbe ği<b>tub qui régit un infinitif. “	leave	оставлять (в различных значениях)	xanmagomedovshalbuzov2001	light verb	Extent of boundedness	only light verb 	Attested expression types	infinitive	babaliyeva2013	223	permissive	Daria Izmalkova	ği<CM>t-ub		Žühey-i durar ǧäǧ-üz ǧit-dar.	Juhey ne les laissa pas aller.	Juhey didn't let them go.	Juhey-ERG [3PL go-INF] let.EVT-NEG	kurbanov2007	223	page 77 in original	6.2023
76	Indo-European	Iranian	Tat	Judeo-Tat	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	authier2012	155	only with intransitive verbs	Daria Izmalkova	-un		Rustom poy-un-d ʕäsb χüšde=re.	Rustam arrêta son cheval.	Rustam stopped his horse.	Rustam stand-CAUS-AOR(3) horse REFL=DAT	avshalumov1991	156		6.2023
77	Indo-European	Iranian	Tat	Muslim Tat	dialect_toplevel	no	no	Causative expression type	light verb	periphrastic phrase	do	делать;сделать;производить	naftaliev2016	morphological	Extent of boundedness	morphological & light verb	Attested expression types	?	authier2012	157	meanings taken from a dictionary of Judeo-Tat	Daria Izmalkova	saχden	?	?							6.2023
78	Indo-European	Iranian	Tat	Muslim Tat	dialect_toplevel	no	no	Causative expression type	light verb	periphrastic phrase	give	дать;отдавать;задать;выдавать;предоставить что-л.;снабдить чем-л.;сдавать;передавать;подать;платить	naftaliev2016	morphological	Extent of boundedness	morphological & light verb	Attested expression types	? 	authier2012	157	meanings taken from a dictionary of Judeo-Tat	Daria Izmalkova	doren	?	?							6.2023
79	Indo-European	Iranian	Tat	Judeo-Tat	dialect_toplevel	no	no	Causative expression type	light verb	periphrastic phrase	leave	оставлять;оставить;разрешать;оставлять кого-л. без чего-л.	naftaliev2016	morphological	Extent of boundedness	morphological & light verb	Attested expression types	?infinitive	authier2012	157	permissive+causative for transitives	Daria Izmalkova	hiš-de		u ʕärüs=e ye čubuq-le=š ez injo e=unjo vegir-de no-re ni=hiš-d.	Il ne laissait pas sa bru se charger de la moindre brindille.	He didn't let his daughter-in-law take care of the smallest twig	3 bride=DAT a stick-DIMIN=EVEN ABL here LOC=there take-INF put-INF NEG.EVT=let-PST(3)	avshalumov1991	158		6.2023
80	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	magomedova2012	183	1) алломорфы от спряжения  2) подвергаются всяким фонетическим преобразованиям  3) есть и аналитическая конструкция , но она по словам грамматики используется редко	Daria Izmalkova	-al;-an		əkw-an-o	накормил	fed	eat-CAUS-?PST	magomedova2012	183		6.2023
81	East Caucasian	Andic	Tindi	Tindi	village	no	no	Causative expression type	light verb	вспомогательный глагол	let	пускать;отпускать кого-л.;выпустить кого-что-л.;снять препятствие перед каким-л. действием;оставить кого-л. без надзора;запускать куда-л. что-л.;приводить что-л. в движение;вводить (одно вещество в другое);наносить (одно вещество на другое);пускать (корни);выпускать, издавать что-л.;распространять что-л.;случать(животных);роиться(о пчелах);давать кому-л. возможность совершать какое-л. действие;скакать (верхом) на лошади	magomedova2003	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	magomedova2012	184	есть еще вало “пригласить“ и вугъо “послать“, но они реже. I suspect it has a permissive meaning (based on the translations of the examples)	Daria Izmalkova	CM-ešdo		əčwiɬa bešda:	приглашены на ковер, на борьбу	invited to fight		magomedova2012	184		6.2023
82	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	Causative expression type	suffixal auxiliary	сложный глагол	do	делать;производить;выдать замуж	ibragimovnurmamedov2010	suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	potential stem	kibrik1999	79	часто, кажется, пишут слитно, но отрицание  может вешаться на любой глагол, и классовый показатель, кажется, тоже	Daria Izmalkova	haʔu		gajsan-haʔas	усыплять	put to sleep	sleep-do.POT	kibrik1999	79		6.2023
83	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	bokarev1959tsez	203	derived from adjectives	Daria Izmalkova	ik';uk'		tatan-ik'-a	разогревать	make warm	warm-CAUS-?INF	bokarev1959	203		6.2023
84	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	bokarev1959tsez	204	derived from verbs	Daria Izmalkova	-r;ir		əs-ir-a	заставить говорить, спросить	cause to say, ask	say-CAUS-?INF	bokarev1959	204		6.2023
85	East Caucasian	Lezgic	Udi	Nizh	village	yes	yes	Causative expression type	suffixal	служебный компонент				morphological	Extent of boundedness	morphological & suffixal auxiliary	Attested expression types	infinitive (other TAM suffixes follow the causative marker)	maisak2008	141		Daria Izmalkova	-d-		nana-n χüjär-ä sijoʁ=e boχ-es-tː-i.	Мама заставила девочку сварить кашу.	Mother forced the girl to cook porridge	мать-ERG девушка-DAT каша=3SG варить-INF-CAUS-AOR	maisak2008(alekseevetal2008)	142		6.2023
86	East Caucasian	Lezgic	Udi	Nizh	village	no	no	Causative expression type	light verb	служебный глагол в составе сложного	do	делать	mobili2010	morphological	Extent of boundedness	morphological & suffixal auxiliary	Attested expression types	infinitive	maisak2008	142	менее продуктивен	Daria Izmalkova	-b-es		ʁar-en papaqː-a ačI-es-b-e=ne	Мальчик потерял шапку.	The boy lost his hat	boy-ERG hat-DAT get_lost-INF-CAUS-PERF=3SG	maisak2008(alekseevetal2008)	143		6.2023
89	East Caucasian	Dargwa	Dargwa	Standard Dargwa	language	yes	yes	Causative expression type	suffixal	суффикс				morphological	Extent of boundedness	only morphological	Attested expression types	stem	musaev2002	78		Daria Izmalkova	-aq-		buc-aq-es	заставить поймать	force to catch	catch-CAUS-INF	musaev2002	78		6.2023
90	East Caucasian	Dargwa	Dargwa	Kaitag	dialect_toplevel	no	yes	Causative expression type	suffixal	суффикс				morphological	Extent of boundedness	only morphological	Attested expression types	stem	temirbulatova2004	28	Barshamai and Sanchi: -ax; Karatsan and Jibahni: -ix-; Irchamul: -aq-. “При образовании каузатива в хайдакском диалекте, в отличие от других диалектов, заднеязычные, среднеязычные и их лабиализованые варианты корневых согласных чередуются с соответствующими согласными более переднего образования”	Daria Izmalkova	-aχ-;-iχ-;-aq-		bar-aχ-ara	?заставить сделать? (написан только перевод изначального глагола)	force to do	do-CAUS-INF	temirbulatova2004	28		6.2023
